Fname,Lname,Goals Scored,Assists,Total Points,Minutes,Goals Conceded,Clean Sheets
David,Ospina,0,0,19,380,3,2
Petr,Cech,0,0,124,3039,48,11
Damian Emiliano,Martinez,0,0,0,0,0,0
Laurent,Koscielny,2,0,100,2225,32,9
Per,Mertesacker,1,0,16,364,7,0
Gabriel Armando,de Abreu,0,0,0,0,0,0
Héctor,Bellerín,2,4,132,3050,44,12
Carl,Jenkinson,0,0,0,0,0,0
Nacho,Monreal,5,2,130,2241,29,10
Rob,Holding,0,1,27,819,17,3
Shkodran,Mustafi,3,1,109,2272,30,10
Sead,Kolasinac,2,4,108,2146,30,10
Mesut,Özil,4,9,112,2161,36,8
Santiago,Cazorla,0,0,0,0,0,0
Aaron,Ramsey,7,10,130,1844,25,9
Francis,Coquelin,0,0,7,164,6,0
Alex,Iwobi,3,5,89,1827,26,9
Mohamed,Elneny,0,1,22,865,12,3
Granit,Xhaka,1,8,109,3259,50,12
Jack,Wilshere,1,3,46,1185,16,4
Danny,Welbeck,5,2,70,1178,21,4
Lucas,Pérez,0,0,0,0,0,0
Alexandre,Lacazette,14,5,138,2197,28,10
Henrikh,Mkhitaryan,3,9,107,1712,17,12
Calum,Chambers,0,0,23,864,14,2
Reiss,Nelson,0,0,5,144,3,0
Ainsley,Maitland-Niles,0,0,25,908,16,3
Matt,Macey,0,0,0,0,0,0
Edward,Nketiah,0,0,3,17,1,0
Mathieu,Debuchy,0,0,0,0,0,0
Konstantinos,Mavropanos,0,0,4,194,5,1
Pierre-Emerick,Aubameyang,10,4,87,1056,15,4
Joseph,Willock,0,0,3,81,2,0
Jordi,Osei-Tutu,0,0,0,0,0,0
Asmir,Begovic,0,0,112,3420,61,6
Artur,Boruc,0,0,0,0,0,0
Adam,Federici,0,0,0,0,0,0
Simon,Francis,0,1,56,2708,47,4
Steve,Cook,2,1,83,2764,53,5
Charlie,Daniels,1,3,94,3001,50,6
Adam,Smith,1,3,56,2067,38,2
Tyrone,Mings,0,0,3,201,5,0
Bradley,Smith,0,0,0,0,0,0
Nathan,Aké,2,3,102,3352,59,6
Harry,Arter,1,0,27,959,13,3
Marc,Pugh,0,0,32,974,17,5
Andrew,Surman,2,5,82,1851,29,5
