Fname,Lname,Club,Age,Position,FPL Points,Nationality
Alexis,Sanchez,Arsenal,28,LW,264,Chile
Mesut,Ozil,Arsenal,28,AM,167,Germany
Petr,Cech,Arsenal,35,GK,134,Czech Republic
Theo,Walcott,Arsenal,28,RW,122,England
Laurent,Koscielny,Arsenal,31,CB,121,France
Hector,Bellerin,Arsenal,22,RB,119,Spain
Olivier,Giroud,Arsenal,30,CF,116,France
Nacho,Monreal,Arsenal,31,LB,115,Spain
Shkodran,Mustafi,Arsenal,25,CB,90,Germany
Alex,Iwobi,Arsenal,21,LW,89,Nigeria
Granit,Xhaka,Arsenal,24,DM,85,Switzerland
Alex,Oxlade-Chamberlain,Arsenal,23,RM,83,England
Jack,Wilshere,Arsenal,25,CM,61,England
Aaron,Ramsey,Arsenal,26,CM,56,Wales
Francis,Coquelin,Arsenal,26,DM,52,France
Gabriel,Paulista,Arsenal,26,CB,45,Brazil
Kieran,Gibbs,Arsenal,27,LB,45,England
Santi,Cazorla,Arsenal,32,CM,38,Spain
Danny,Welbeck,Arsenal,26,CF,37,England
Rob,Holding,Arsenal,21,CB,32,England
Mohamed,Elneny,Arsenal,25,DM,26,Egypt
Lucas,Perez,Arsenal,28,CF,20,Spain
Emiliano,Martinez,Arsenal,24,GK,8,Argentina
David,Ospina,Arsenal,28,GK,2,Colombia
Carl,Jenkinson,Arsenal,25,RB,2,England
Per,Mertesacker,Arsenal,32,CB,1,Germany
Sead,Kolasinac,Arsenal,24,LB,0,Bosnia
Alexandre,Lacazette,Arsenal,26,CF,0,France
Joshua,King,Bournemouth,25,SS,178,Norway
Jermain,Defoe,Bournemouth,34,CF,166,England
Charlie,Daniels,Bournemouth,30,LB,134,England
Artur,Boruc,Bournemouth,37,GK,120,Poland
Steve,Cook,Bournemouth,26,CB,112,England
,,Bournemouth,27,LW,107,England
Adam,Smith,Bournemouth,26,RB,104,England
Ryan,Fraser,Bournemouth,23,LW,100,Scotland
Simon,Francis,Bournemouth,32,RB,89,England
Benik,Afobe,Bournemouth,24,CF,88,Congo DR
Harry,Arter,Bournemouth,27,CM,84,Ireland
Marc,Pugh,Bournemouth,30,LW,64,England
Callum,Wilson,Bournemouth,25,CF,63,England
Nathan,Ake,Bournemouth,22,CB,55,Netherlands
Dan,Gosling,Bournemouth,27,CM,49,England
Andrew,Surman,Bournemouth,30,CM,44,England
Jordon,Ibe,Bournemouth,21,RW,36,England
Lewis,Cook,Bournemouth,20,CM,17,England
Lys,Mousset,Bournemouth,21,CF,14,France
Adam,Federici,Bournemouth,32,GK,8,Australia
Max,Gradel,Bournemouth,29,LW,8,Cote d'Ivoire
Tyrone,Mings,Bournemouth,24,CB,4,England
Brad,Smith,Bournemouth,23,LB,4,Australia
Asmir,Begovic,Bournemouth,30,GK,2,Bosnia
Niki,Maenpaa,Brighton & Hove Albion,32,GK,0,Finland
Mathew,Ryan,Brighton & Hove Albion,25,GK,0,Australia
Lewis,Dunk,Brighton & Hove Albion,25,CB,0,England
Shane,Duffy,Brighton & Hove Albion,25,CB,0,Ireland
Uwe,Hunemeier,Brighton & Hove Albion,31,CB,0,Germany
Bruno,,Brighton & Hove Albion,36,RB,0,Argentina
Gaetan,Bong,Brighton & Hove Albion,29,LB,0,Cameroon
Liam,Rosenior,Brighton & Hove Albion,33,RB,0,England
Connor,Goldson,Brighton & Hove Albion,24,CB,0,England
Markus,Suttner,Brighton & Hove Albion,30,LB,0,Austria
Anthony,Knockaert,Brighton & Hove Albion,25,RW,0,France
Dale,Stephens,Brighton & Hove Albion,27,CM,0,England
Beram,Kayal,Brighton & Hove Albion,29,CM,0,Israel
Steve,Sidwell,Brighton & Hove Albion,34,CM,0,England
Solly,March,Brighton & Hove Albion,23,RM,0,England
Jiri,Skalak,Brighton & Hove Albion,25,LW,0,Czech Republic
Oliver,Norwood,Brighton & Hove Albion,26,CM,0,Northern Ireland
Jamie,Murphy,Brighton & Hove Albion,27,LW,0,Scotland
Pascal,Gross,Brighton & Hove Albion,26,CM,0,Germany
Glenn,Murray,Brighton & Hove Albion,33,CF,0,England
Tomer,Hemed,Brighton & Hove Albion,30,CF,0,Israel
Sam,Baldock,Brighton & Hove Albion,28,CF,0,England
Tom,Heaton,Burnley,31,GK,149,England
Sam,Vokes,Burnley,27,CF,121,Wales
Andre,Gray,Burnley,26,CF,108,England
Ben,Mee,Burnley,27,CB,94,England
Stephen,Ward,Burnley,31,LB,91,Ireland
Matthew,Lowton,Burnley,28,RB,90,England
Ashley,Barnes,Burnley,27,CF,81,England
Jeff,Hendrick,Burnley,25,CM,76,Ireland
Scott,Arfield,Burnley,28,LM,69,Canada
Steven,Defour,Burnley,29,CM,54,Belgium
Dean,Marney,Burnley,33,CM,51,England
Jack,Cork,Burnley,28,DM,50,England
Johann,Gudmundsson,Burnley,26,RW,47,Iceland
Robbie,Brady,Burnley,25,LM,39,Ireland
James,Tarkowski,Burnley,24,CB,23,England
Ashley,Westwood,Burnley,27,DM,13,England
Kevin,Long,Burnley,26,CB,3,Ireland
Matthew,Taylor,Burnley,35,LM,0,England
Eden,Hazard,Chelsea,26,LW,224,Belgium
Diego,Costa,Chelsea,28,CF,196,Spain
Gary,Cahill,Chelsea,31,CB,178,England
Marcos,Mendoza,Chelsea,26,LB,177,Spain
Cesar,Azpilicueta,Chelsea,27,RB,170,Spain
Pedro,,Chelsea,29,RW,162,Spain
Thibaut,Courtois,Chelsea,25,GK,141,Belgium
David,Luiz,Chelsea,30,CB,132,Brazil
Cesc,Fabregas,Chelsea,30,CM,121,Spain
Willian,,Chelsea,28,RW,114,Brazil
Victor,Moses,Chelsea,26,RM,105,Nigeria
Nemanja,Matic,Chelsea,28,DM,105,Serbia
N%27Golo,Kante,Chelsea,26,DM,83,France
Willy,Caballero,Chelsea,35,GK,64,Argentina
Michy,Batshuayi,Chelsea,23,CF,48,Belgium
Kurt,Zouma,Chelsea,22,CB,15,France
Kenedy,,Chelsea,21,LB,3,Brazil
Eduardo,Carvalho,Chelsea,34,LW,0,Portugal
Antonio,Rudiger,Chelsea,24,CB,0,Germany
Tiemoue,Bakayoko,Chelsea,22,DM,0,France
Wilfried,Zaha,Crystal Palace,24,RW,149,Cote d'Ivoire
Christian,Benteke,Crystal Palace,26,CF,136,Belgium
Andros,Townsend,Crystal Palace,26,RW,116,England
Patrick,van Aanholt,Crystal Palace,26,LB,98,Netherlands
James,McArthur,Crystal Palace,29,CM,93,Scotland
Wayne,Hennessey,Crystal Palace,30,GK,92,Wales
Jason,Puncheon,Crystal Palace,31,AM,92,England
Yohan,Cabaye,Crystal Palace,31,CM,91,France
Joel,Ward,Crystal Palace,27,RB,86,England
James,Tomkins,Crystal Palace,28,CB,75,England
Scott,Dann,Crystal Palace,30,CB,61,England
Damien,Delaney,Crystal Palace,36,CB,51,Ireland
Jeffrey,Schlupp,Crystal Palace,24,LB,47,Ghana
Martin,Kelly,Crystal Palace,27,RB,46,England
Luka,Milivojevic,Crystal Palace,26,DM,42,Serbia
Lee,Chung-yong,Crystal Palace,29,RW,24,South Korea
Connor,Wickham,Crystal Palace,24,CF,18,England
Bakary,Sako,Crystal Palace,29,LW,7,Mali
Pape,Souare,Crystal Palace,27,LB,6,Senegal
Ruben,Loftus-Cheek,Crystal Palace,21,CM,6,England
Julian,Speroni,Crystal Palace,38,GK,0,Argentina
Ross,Barkley,Everton,23,AM,144,England
Leighton,Baines,Everton,32,LB,135,England
Seamus,Coleman,Everton,28,RB,133,Ireland
Ashley,Williams,Everton,32,CB,127,Wales
Kevin,Mirallas,Everton,29,RW,119,Belgium
Michael,Keane,Everton,24,CB,113,England
Phil,Jagielka,Everton,34,CB,104,England
Jordan,Pickford,Everton,23,GK,102,England
Joel,Robles,Everton,27,GK,89,Spain
Idrissa,Gueye,Everton,27,CM,80,Senegal
Wayne,Rooney,Everton,31,SS,76,England
Ramiro,Mori,Everton,26,CB,69,Argentina
Maarten,Stekelenburg,Everton,34,GK,68,Netherlands
Gareth,Barry,Everton,36,DM,68,England
Tom,Davies,Everton,19,CM,63,England
Mason,Holgate,Everton,20,CB,54,England
Yannick,Bolasie,Everton,28,LW,45,Congo DR
Morgan,Schneiderlin,Everton,27,DM,37,France
Cuco,Martina,Everton,27,RB,31,Curacao
James,McCarthy,Everton,26,CM,23,Ireland
Aaron,Lennon,Everton,30,RW,22,England
Dominic,Calvert-Lewin,Everton,20,SS,17,England
Ademola,Lookman,Everton,19,LW,16,England
Matthew,Pennington,Everton,22,CB,9,England
Jonjoe,Kenny,Everton,20,RB,1,England
Muhamed,Besic,Everton,24,DM,0,Germany
